Time,Open,High,Low,Close,Volume
2025-06-02 01:00:00,3298.26,3315.12,3295.92,3313.18,5631
2025-06-02 02:00:00,3313.18,3316.66,3309.23,3310.24,3681
2025-06-02 03:00:00,3310.24,3314.97,3303.34,3311.36,6293
2025-06-02 04:00:00,3311.36,3313.65,3301.48,3303.72,6958
2025-06-02 05:00:00,3303.72,3311.52,3303.5,3307.38,5082
2025-06-02 06:00:00,3307.38,3308.9,3303.34,3308.65,4414
2025-06-02 07:00:00,3308.64,3318.18,3308.64,3313.91,4875
2025-06-02 08:00:00,3313.91,3325.69,3313.86,3323.79,5583
2025-06-02 09:00:00,3323.79,3345.4,3323.79,3344.47,9340
2025-06-02 10:00:00,3344.47,3359.03,3343.22,3352.62,10554
2025-06-02 11:00:00,3352.62,3356.43,3350.11,3352.08,6537
2025-06-02 12:00:00,3352.08,3352.48,3344.54,3348.38,6942
2025-06-02 13:00:00,3348.38,3351.37,3344.64,3348.65,6867
2025-06-02 14:00:00,3348.65,3360.1,3346.12,3356.37,7635
2025-06-02 15:00:00,3356.33,3363.65,3354.01,3355.48,9424
2025-06-02 16:00:00,3355.48,3376.23,3350.41,3371.0,12319
2025-06-02 17:00:00,3371.0,3378.82,3367.73,3376.17,13159
2025-06-02 18:00:00,3376.05,3378.79,3369.85,3374.37,9321
2025-06-02 19:00:00,3374.33,3379.32,3369.37,3371.93,8221
2025-06-02 20:00:00,3371.8,3376.02,3371.36,3374.43,6834
2025-06-02 21:00:00,3374.43,3380.05,3370.85,3379.31,6079
2025-06-02 22:00:00,3379.31,3382.38,3377.95,3381.54,5104
2025-06-02 23:00:00,3381.54,3382.78,3378.44,3381.6,3093
2025-06-03 01:00:00,3384.37,3391.56,3382.13,3389.96,4024
2025-06-03 02:00:00,3389.96,3392.17,3383.19,3387.45,3442
2025-06-03 03:00:00,3387.45,3388.65,3373.86,3375.9,6568
2025-06-03 04:00:00,3375.89,3376.0,3363.34,3372.61,11215
2025-06-03 05:00:00,3372.61,3378.05,3364.48,3368.89,8262
2025-06-03 06:00:00,3368.88,3369.71,3359.79,3361.16,6178
2025-06-03 07:00:00,3361.16,3365.19,3359.24,3362.69,4874
2025-06-03 08:00:00,3362.69,3367.77,3356.4,3365.16,6489
2025-06-03 09:00:00,3365.08,3367.4,3351.21,3358.91,9143
2025-06-03 10:00:00,3358.89,3361.27,3352.58,3359.68,8850
2025-06-03 11:00:00,3359.68,3364.86,3359.68,3361.34,6763
2025-06-03 12:00:00,3361.34,3362.8,3355.01,3356.88,6195
2025-06-03 13:00:00,3356.88,3358.72,3354.98,3355.5,5421
2025-06-03 14:00:00,3355.5,3360.47,3353.54,3359.29,5311
2025-06-03 15:00:00,3359.29,3363.08,3349.02,3359.41,9575
2025-06-03 16:00:00,3359.42,3363.14,3340.95,3345.75,11630
2025-06-03 17:00:00,3345.93,3350.26,3333.08,3346.54,11947
2025-06-03 18:00:00,3346.49,3351.56,3344.12,3350.3,8269
2025-06-03 19:00:00,3350.3,3353.52,3344.63,3348.5,6297
2025-06-03 20:00:00,3348.5,3354.59,3347.34,3353.23,5095
2025-06-03 21:00:00,3353.18,3353.85,3350.5,3353.61,3397
