Time,Open,High,Low,Close,Volume
2025-06-02 00:00:00,0.88335,0.88376,0.88314,0.88329,273
2025-06-02 01:00:00,0.88329,0.88478,0.88315,0.88478,1832
2025-06-02 02:00:00,0.88478,0.8851,0.88427,0.8843,1759
2025-06-02 03:00:00,0.8843,0.8858,0.88429,0.88562,3476
2025-06-02 04:00:00,0.88562,0.88717,0.88552,0.88578,3809
2025-06-02 05:00:00,0.8858,0.88676,0.88559,0.88571,3032
2025-06-02 06:00:00,0.88571,0.88594,0.88465,0.88529,2501
2025-06-02 07:00:00,0.88529,0.8859,0.88504,0.88578,2148
2025-06-02 08:00:00,0.88578,0.88626,0.8855,0.88605,2419
2025-06-02 09:00:00,0.88605,0.88682,0.88568,0.88602,3103
2025-06-02 10:00:00,0.88602,0.88735,0.886,0.88676,4695
2025-06-02 11:00:00,0.88674,0.88729,0.88625,0.8871,3840
2025-06-02 12:00:00,0.88712,0.8879,0.88711,0.88778,3220
2025-06-02 13:00:00,0.88778,0.88794,0.88719,0.88777,2738
2025-06-02 14:00:00,0.88777,0.88888,0.88752,0.88806,2998
2025-06-02 15:00:00,0.88806,0.88884,0.88801,0.88858,3325
2025-06-02 16:00:00,0.88858,0.8886,0.88719,0.88758,4772
2025-06-02 17:00:00,0.88758,0.89042,0.88739,0.8901,6203
2025-06-02 18:00:00,0.8901,0.8904,0.88925,0.88946,4349
2025-06-02 19:00:00,0.88946,0.88953,0.88889,0.8893,2952
2025-06-02 20:00:00,0.8893,0.88968,0.88925,0.88944,2243
2025-06-02 21:00:00,0.88944,0.89026,0.88918,0.89021,2212
2025-06-02 22:00:00,0.89021,0.89032,0.88986,0.89015,1584
2025-06-02 23:00:00,0.89015,0.8911,0.89006,0.89072,1122
2025-06-03 00:00:00,0.89064,0.89064,0.88909,0.88941,258
2025-06-03 01:00:00,0.88941,0.8907,0.88931,0.8906,877
2025-06-03 02:00:00,0.8906,0.89113,0.89038,0.89096,1282
2025-06-03 03:00:00,0.89096,0.89107,0.89036,0.89081,2920
2025-06-03 04:00:00,0.89081,0.89112,0.88923,0.88934,3844
2025-06-03 05:00:00,0.88934,0.88944,0.88776,0.8879,2983
2025-06-03 06:00:00,0.8879,0.88858,0.88762,0.888,2744
2025-06-03 07:00:00,0.888,0.88836,0.8877,0.88803,1992
2025-06-03 08:00:00,0.88803,0.88823,0.8863,0.88755,2947
2025-06-03 09:00:00,0.88755,0.88756,0.88612,0.8871,3346
2025-06-03 10:00:00,0.88708,0.88728,0.88618,0.88688,3833
2025-06-03 11:00:00,0.88688,0.88697,0.88625,0.8863,3367
2025-06-03 12:00:00,0.8863,0.8869,0.88604,0.88659,3520
2025-06-03 13:00:00,0.88659,0.88727,0.88643,0.88674,3103
2025-06-03 14:00:00,0.88674,0.88724,0.88643,0.88709,2339
2025-06-03 15:00:00,0.88709,0.88724,0.88563,0.88585,3420
2025-06-03 16:00:00,0.88585,0.88675,0.88533,0.88596,4087
2025-06-03 17:00:00,0.88596,0.88736,0.88537,0.88652,5658
2025-06-03 18:00:00,0.88653,0.88714,0.8862,0.88655,3860
2025-06-03 19:00:00,0.88655,0.88706,0.88637,0.88659,2680
2025-06-03 20:00:00,0.88659,0.88767,0.88657,0.88739,2144
2025-06-03 21:00:00,0.88739,0.88739,0.88678,0.88711,2071
2025-06-03 22:00:00,0.88711,0.88726,0.88658,0.88678,1476
2025-06-03 23:00:00,0.88678,0.88719,0.88651,0.88655,847
2025-06-04 00:00:00,0.88641,0.88659,0.88508,0.88642,433
2025-06-04 01:00:00,0.88642,0.88718,0.88622,0.88692,882
2025-06-04 02:00:00,0.88692,0.88699,0.88642,0.8866,1105
2025-06-04 03:00:00,0.8866,0.88678,0.88581,0.88598,2987
2025-06-04 04:00:00,0.88598,0.88757,0.88514,0.88745,4241
2025-06-04 05:00:00,0.88745,0.88826,0.88644,0.88667,3076
2025-06-04 06:00:00,0.88667,0.88698,0.88633,0.88674,2476
2025-06-04 07:00:00,0.88674,0.88709,0.88584,0.88594,2498
2025-06-04 08:00:00,0.88594,0.88651,0.88549,0.88613,2707
2025-06-04 09:00:00,0.88613,0.88705,0.88587,0.88672,3787
2025-06-04 10:00:00,0.88671,0.88767,0.88633,0.88636,3396
2025-06-04 11:00:00,0.88636,0.88774,0.88622,0.88754,2989
2025-06-04 12:00:00,0.88754,0.88848,0.88727,0.88797,2710
2025-06-04 13:00:00,0.88797,0.88866,0.88788,0.88804,2788
2025-06-04 14:00:00,0.88805,0.88898,0.88768,0.8886,2537
2025-06-04 15:00:00,0.8886,0.88971,0.88858,0.88941,4336
2025-06-04 16:00:00,0.88942,0.88972,0.88893,0.88928,4442
2025-06-04 17:00:00,0.88928,0.88961,0.88806,0.88837,5976
2025-06-04 18:00:00,0.88837,0.88858,0.88778,0.88821,4341
2025-06-04 19:00:00,0.88821,0.8885,0.88776,0.88805,2755
2025-06-04 20:00:00,0.88805,0.88824,0.88778,0.88813,2120
2025-06-04 21:00:00,0.88813,0.88848,0.88788,0.888,1994
2025-06-04 22:00:00,0.888,0.88832,0.88771,0.8882,1701
2025-06-04 23:00:00,0.8882,0.88832,0.88783,0.88796,1207
